timestamp,station_id,name,bikes_available,docks_available
2026-08-18T12:03+00:00,smoove:053,Heikkiläntie,0,12
2026-08-18T12:03+00:00,smoove:054,Gyldenintie,13,15
2026-08-18T12:03+00:00,smoove:066,Ehrenströmintie,19,1
2026-08-18T12:03+00:00,smoove:067,Perämiehenkatu,7,9
2026-08-18T12:03+00:00,smoove:068,Albertinkatu,5,15
2026-08-18T12:03+00:00,smoove:069,Kalevankatu,1,15
2026-08-18T12:03+00:00,smoove:060,Kaapelitehdas,40,0
2026-08-18T12:03+00:00,smoove:061,Länsisatamankatu,4,12
2026-08-18T12:03+00:00,smoove:062,Välimerenkatu,9,7
2026-08-18T12:03+00:00,smoove:063,Jätkäsaarenlaituri,4,15
2026-08-18T12:03+00:00,smoove:064,Tyynenmerenkatu,15,5
2026-08-18T12:03+00:00,smoove:065,Hernesaarenranta,34,6
2026-08-18T12:03+00:00,smoove:118,Fleminginkatu,8,10
2026-08-18T12:03+00:00,smoove:239,Viikin tiedepuisto,28,0
2026-08-18T12:03+00:00,smoove:119,Gebhardinaukio,10,10
2026-08-18T12:03+00:00,smoove:110,Maistraatintori,5,15
2026-08-18T12:03+00:00,smoove:231,Siltavoudintie,0,16
2026-08-18T12:03+00:00,smoove:352,Tapanilan asema,4,8
2026-08-18T12:03+00:00,smoove:111,Esterinportti,8,12
2026-08-18T12:03+00:00,smoove:595,Westendintie,5,11
2026-08-18T12:03+00:00,smoove:232,Oulunkylän asema,19,1
2026-08-18T12:03+00:00,smoove:353,Helluntairaitti,5,15
2026-08-18T12:03+00:00,smoove:596,Toppelundinportti,3,9
2026-08-18T12:03+00:00,smoove:112,Rautatieläisenkatu,30,0
2026-08-18T12:03+00:00,smoove:233,Kirkkoherrantie,2,8
2026-08-18T12:03+00:00,smoove:354,Saniaiskuja,14,2
2026-08-18T12:03+00:00,smoove:113,Pasilan asema,20,20
2026-08-18T12:03+00:00,smoove:597,Linnakepolku,29,0
2026-08-18T12:03+00:00,smoove:234,Otto Brandtin tie,15,5
